line,l_area,l_perimeter,l_length,l_width,l_apex,l_base,t_area,t_perimeter,t_length,t_width,t_apex,t_base,r_area,r_perimeter,r_length,r_width,r_apex,r_base,leaftype
PI346316,43.93023297,32.43755827,7.835044574,6.910327407,86.28040452,99.51737571,41.38190736,31.84278491,8.236036031,7.482661916,87.71980134,107.4475076,43.81090823,32.66540128,8.027583021,6.86470134,83.7983526,98.00616176,1
PI362296,51.49039375,34.69649455,8.446668607,7.512037814,85.4078566,100.0565154,51.48263532,34.56825079,8.568985295,8.528841741,90.70910672,111.322463,51.59282897,35.44129964,8.513201453,7.464332631,82.99222112,97.87851783,1
PI362298,54.55665144,35.73776488,8.508364765,7.684022763,87.08564005,96.78729155,52.18689736,35.95107443,8.937725989,8.343770151,84.48797025,105.231598,54.30497279,35.6432283,8.71943814,7.712335697,85.69897247,98.89593003,1
PI362307,47.42364668,34.10020619,8.416282739,7.312011471,85.46665341,98.49359778,48.44267385,34.10630901,8.779873742,8.276458451,89.30489404,107.780814,47.57881927,34.25746873,8.368987976,7.302067507,83.55875991,96.73026269,1
PI362309,45.32245683,32.84951226,8.350286078,6.96695438,82.22642584,95.91138179,46.47519679,34.7461907,8.521498729,7.960982891,89.4442268,107.7122098,46.77690616,33.20561225,8.277314037,7.057285656,84.71695657,97.91850835,1
PI362310,44.57038658,32.93382446,7.824523049,7.168687163,83.74360959,98.44717306,42.95172577,32.3432192,8.302986632,7.804819762,90.02043594,108.6173125,44.79206632,33.29049238,8.15665471,7.23217256,87.54788053,99.97019993,1
PI362311,47.62842357,33.94584605,8.293441603,7.470343273,85.46166326,99.04173811,48.25398706,34.38260807,8.707553447,8.259410628,89.31951156,108.4555141,47.42556892,34.63759851,8.358635956,7.200950108,85.52255591,97.00083838,1
PI362315,54.21358766,36.17520472,8.981073265,7.78194045,84.67392953,98.60491006,56.27414902,36.86501962,9.157436785,8.844242507,86.02698958,108.226095,53.60022063,36.38447931,8.84189236,7.769988363,81.86970506,98.08210936,1
PI362316,48.04507664,33.74717981,8.487948058,7.313798037,82.4725919,97.31916141,47.08073079,33.62668218,8.411857408,8.235665717,89.66715124,110.9164778,49.92615219,34.92021186,8.501100305,7.478283858,84.1758645,98.20674665,1
PI362317,46.34762651,33.90206348,8.268886085,7.315806604,83.75597873,98.04477332,42.53408391,33.13648424,8.317927723,7.744971466,88.61096534,104.5203027,47.13231119,33.74860709,7.994239759,7.351861934,87.23866529,100.2383808,1
PI362318,49.049253,34.65628668,8.747814686,7.43484523,80.99153015,96.12145422,49.13967748,35.15862549,8.920758503,8.336472927,85.84018544,107.2318598,50.06028562,35.03125155,8.620935475,7.530577698,87.26261382,98.64056491,1
PI362322,44.62874224,33.93535508,8.176459302,7.028905997,80.96360319,97.26665594,45.10789122,33.86128444,8.430014665,7.937885028,87.06259563,108.4436541,46.792144,33.79699791,8.41576865,7.211306733,85.14902925,99.03240076,1
PI362324,48.06334724,34.65492339,8.108547561,7.334587536,83.11319361,98.69427764,50.32465508,35.50630858,8.679770537,8.512934731,86.94958679,108.6344805,49.89196037,35.07305903,8.157354772,7.389739528,83.59319503,97.74991815,1
PI362326,46.99188201,33.66317706,8.300019647,7.261792722,80.94493164,97.21778064,47.55891739,34.74281211,8.815499701,8.245045152,85.61597662,107.4205606,48.30496905,34.57401761,8.443107148,7.342140317,80.87271848,95.24846921,1
PI363147,43.59369132,32.62946409,8.017514192,7.110024794,81.15739765,98.63953252,42.33688627,32.33381902,8.372244584,7.813117148,90.65906105,108.3464999,44.27869874,32.59125167,7.895001823,7.114093406,86.94846049,100.681508,1
PI363149,50.31368573,34.68187645,8.656040689,7.473245644,84.52029558,98.24407986,49.40072657,34.10811424,8.544578198,8.259494921,88.53908934,108.9205664,46.8737893,33.62984525,8.16669794,7.15187885,84.93404009,97.00451121,1
PI363152,37.18470509,29.87809165,7.528345201,6.327378857,85.77129387,98.55946567,36.24333644,29.44983265,7.438238396,7.008047936,96.37713751,110.8518218,38.84389386,30.29052432,7.552292455,6.493824506,86.91159637,98.75124257,1
PI363153,39.33780641,31.29236232,7.987904823,6.500243594,81.16065473,95.32507337,39.3006451,32.55577149,8.378788654,7.295570356,79.37840328,105.7670023,40.12265681,31.48839042,7.959823682,6.519992048,80.99020325,96.36765847,1
PI363156,42.79021596,32.53850512,8.1484539,6.805551292,80.73320396,94.7827033,42.41662857,32.51085919,8.296155227,7.631498714,87.38048022,108.0286722,42.83630382,32.74906592,8.118899942,6.803118977,81.86864874,95.74022965,1
PI363166,40.01274349,31.14539833,7.834871797,6.585970726,84.50161035,97.34781255,40.02181413,31.46127,8.346786693,7.226330746,83.07302624,104.2980942,40.39915022,31.491696,7.541834736,6.602035401,87.25893493,100.2851535,1
PI363185,67.24121405,39.59719183,9.527549138,8.680929642,90.5163386,102.0873255,62.73989933,38.94168492,9.624510346,9.417266587,87.5433854,108.2729473,66.65028669,39.59987996,9.701617885,8.570323476,83.7361729,96.97100582,1
PI363189,43.27863402,32.37040253,8.014834762,6.845479295,85.40087008,98.36937122,41.84669568,32.61806539,8.208627527,7.585872407,85.79394509,108.4123872,44.75172453,32.99136927,8.276526266,6.956745841,82.76106106,97.0185313,1
PI363190,44.06621443,32.97534719,7.901162051,7.204868023,88.03845824,102.6601535,42.91904683,32.84653036,8.245523058,7.999764684,90.57730836,110.6515373,44.94679573,33.42748882,7.680269687,7.222554239,87.10935598,102.2273206,1
PI363204,50.01090138,34.36376755,8.385693505,7.431470263,82.53808376,96.72981801,51.29352898,34.94980493,8.686911689,8.55007304,91.15722634,110.3069171,50.68690224,34.74143482,8.381870799,7.476574688,84.40126622,97.60181962,1
PI363208,46.44236852,33.72117847,8.391672716,7.076041744,84.37993147,96.86953762,47.12108288,33.84842487,8.825452606,8.04988649,86.57984083,105.8367458,47.75683823,34.35591404,8.436557934,7.154964361,84.57772922,95.85208968,1
PI363222,54.39701015,36.01753035,8.816197724,7.681201836,86.8702641,98.68574818,56.6213218,36.4855777,8.762498634,8.927350395,91.74550286,111.550988,56.08803875,37.59643731,8.596459555,7.866837871,83.29456346,98.68836904,1
PI363231,37.44639147,30.04219662,7.474164936,6.476417617,86.57562877,99.01035426,36.24016717,30.05521999,7.691305126,7.092902899,89.15084922,108.6461431,38.22314058,30.72980145,7.566827611,6.525141426,88.32150474,99.9173741,1
PI363252,49.73614736,34.71292039,8.1876904,7.463220149,90.15714892,100.8618023,48.49574569,35.00514152,8.378322422,8.294493202,92.9772188,111.0672629,50.58085594,34.89880182,8.263856025,7.493825447,90.31537447,101.0645799,1
PI363253,46.91565586,33.53146426,8.376504365,7.111778295,84.67476478,97.98271389,48.85764253,34.11532164,8.727731885,8.179508597,88.42969108,107.7352404,49.46363631,34.37574771,8.508097907,7.388329976,86.14753462,99.6198024,1
PI363271,37.99338629,30.60963865,7.518537987,6.486492538,84.48477712,98.08219326,38.70068827,31.20103524,7.856893841,7.260185619,92.03196808,109.783169,39.66768338,31.0965564,7.733111948,6.644067601,86.27633863,100.0067439,1
PI363272,46.46495274,35.44551842,8.141805308,7.215486349,82.75980254,96.2161154,46.50546435,33.96400498,8.597031588,7.969792917,89.93955582,107.4407245,48.02691385,35.97745448,8.20860158,7.287862453,82.12252974,98.00642346,1
PI363301,48.46239931,34.36521439,8.827404281,7.275345659,79.9457853,95.07065155,47.19817514,34.32549395,8.853483912,8.047016136,86.36851571,105.069843,49.05704293,34.77958168,8.628274209,7.31828803,82.8550606,95.18056143,1
PI363302,49.78230447,34.30150366,8.322003126,7.459349794,88.25495324,99.30277994,48.03002578,34.13486508,8.655424035,8.083061349,91.35405289,107.6444563,51.24857967,35.07490437,8.531455125,7.547810864,87.23934072,99.15607968,1
PI363304,52.66661226,35.52159073,8.475693883,7.69275723,86.87215562,100.0671068,50.64610629,35.06693385,8.593924367,8.516913307,90.74914306,110.967573,55.27996932,36.66517003,8.506105748,7.872513559,87.55648608,99.48654562,1
PI363315,42.40267262,33.2540226,7.918781887,6.988190678,85.93417327,98.40127884,39.53873464,31.90394128,7.973159334,7.476119693,92.1869533,105.8360314,42.83365837,32.39636429,7.713800741,6.938590917,87.34973925,100.6013016,1
PI363318,45.81834163,33.5016509,8.518005895,7.121871473,81.7261509,95.37175654,43.30254187,34.03077719,8.664430303,7.766824789,78.9281518,104.9769926,48.51174746,34.61529254,8.493532699,7.381285997,83.72914487,98.38532175,1
PI363320,43.83246372,33.29478341,8.065118904,6.894793128,85.23549677,99.51934468,44.70176845,34.32678466,8.553317096,7.795706125,85.20471623,105.9023083,44.85601156,34.3440239,8.230289764,7.023261889,84.01711888,99.03065371,1
PI363324,64.11424372,38.46947174,9.166027605,8.41722315,88.3851692,101.4307509,65.35221151,38.91274079,9.524850913,9.63318487,89.08088732,109.4283244,65.35159721,39.08777968,9.205337829,8.509295025,84.82582022,98.25326306,1
