"line","l_area","l_perimeter","l_length","l_width","l_apex","l_base","t_area","t_perimeter","t_length","t_width","t_apex","t_base","r_area","r_perimeter","r_length","r_width","r_apex","r_base"
"PI363989",61.6520764549258,38.0667587436975,9.11560722098941,8.17280472628416,85.2032435936404,97.6009666932775,56.5487002831705,37.0514106441319,9.05993342307423,8.68247158541006,91.0199807641282,107.552654499937,58.3236511089906,37.4539604411357,9.09762024657221,7.86092566187119,83.5786251341694,95.6232926536807
"PI364007",52.6542451026935,35.4275949016425,8.42610604287795,7.86106429565578,84.5000623722674,100.831338701274,47.1817622678573,34.3148469400797,8.61001578237477,8.25418254959227,87.463967367174,108.593503466846,53.2154567464395,36.049726890086,8.44590365104249,7.90951168512262,87.6321909621743,100.419593276674
"PI364015",45.7726642353957,33.1484849520923,8.12836418733134,7.23102905336515,82.6770026922299,99.4367166114815,44.4383093169785,32.9722905846841,8.41130808165985,7.86882296293308,90.8558456960822,108.550535960596,46.8474120735031,33.88527536326,8.23720431620103,7.2690222962711,85.025079923906,98.2426653855285
"PI364016",57.6430024369914,36.4588783931306,8.69152855376207,8.04256830562437,85.5577549833565,99.4449153894988,54.1866011841635,36.0393365212811,8.67922330487083,8.73831159931034,95.814870209336,111.223196926287,57.3602934090482,36.3486141138247,8.61688254949791,8.07031800989096,87.0171250390947,99.8549473261705
"PI364028",47.5264915637512,33.223260211235,8.68585114858443,7.18980525881045,87.3416657778355,100.111260751854,45.7680065105126,33.9077217547095,8.12428738384246,7.86105576093422,93.4578982639932,110.053962457249,48.3349976975671,33.5167567303143,8.67275212377509,7.22051801175918,86.8849036175202,98.8349956378536
"PI364032",53.2320960704798,35.6622885837075,8.86612556328369,7.70667014527241,86.5900457074465,98.6170545723929,53.1385385363914,36.2901352936072,9.15152610192661,8.6671536555606,89.917714510944,109.161160552824,58.3574360812314,37.6601344212149,8.83994860128918,8.06437277845106,86.4356885998248,99.3458402537697
"PI364047",49.9810915783443,34.8785262338743,8.45506114462319,7.58106794860748,85.3996405013809,99.1027158267928,46.6920471852041,33.6688581295001,8.39406664353939,8.16235766126263,91.6476675472278,110.963313104178,51.1313514459772,34.856404554096,8.63653544978998,7.51982020559473,83.5531412722578,98.0434945651993
"PI364049",52.3847110887564,35.1971688374626,8.31605788226809,7.79236656847782,86.8532232447284,99.8015883578571,50.8568693415659,34.8993545925096,8.69304612035247,8.35018946923822,92.2554443814528,109.098236747345,53.4588454201369,35.6943352224034,8.36980034308774,7.79715525244846,85.7669761740156,99.1398082579121
"PI364070",45.5190077854094,33.125413375075,7.93773632949522,7.16209753817952,84.8355513952056,99.1480688053825,43.1687721876356,32.4843727518688,8.29951321375468,7.72168089420451,90.8987524544148,108.444017485086,47.8548065035921,34.0081232254648,8.40333280721059,7.28661336056825,85.2111136596236,96.5024036516928
"PI364119",55.3742903662544,36.4418155138537,8.75344629609159,7.92869982326951,88.042284561105,101.811515316056,52.0571077303739,35.6089002192358,8.91597989815232,8.51934237403216,88.453954936357,108.355303262916,57.0799867974872,36.9099481204964,8.58939662721736,8.0015637973024,87.5030010491598,103.187178197007
"PI364123",47.3403161927037,33.7596461429273,8.24490952094302,7.32565049152183,84.6437938589827,98.8047065214992,43.6560757859763,32.8532886942515,8.49595449374721,7.82019411981326,87.0468605273825,107.442872200366,49.0470475743933,34.7695610844849,8.60498833343481,7.36322831823478,81.8859138784704,96.6342873037164
"PI364167",45.4910058585886,33.163751477403,8.02879614288604,7.05151974869179,86.3096538951897,99.2345545387505,46.9640671139152,34.4915195905981,8.38373749223663,8.18238139224335,92.2227486471066,110.703879174566,48.1367002454642,34.6837630549289,8.27308604567556,7.26488411228803,84.0526580646129,98.4502270014092
"PI364173",56.9875712530544,36.7433255455275,8.71963892565293,8.12194452391275,87.6113088178738,100.981562967123,51.3213472877675,35.3811856293019,8.66259519956706,8.64300665700137,92.0632895582631,111.014372129799,57.5469327862796,37.1360119413452,8.78219120184974,8.11435600229145,86.8542461320591,99.5610283472363
"PI364205",50.796546277915,34.7289447913077,8.18774387733391,7.56234277911173,86.9309680433496,100.308902497457,48.9788975266014,34.5516253762818,8.58497298857749,8.40456573578826,89.5219223075308,110.254338881198,51.8553698333838,35.3637265493202,8.48406549965701,7.5858196551905,87.2592707900753,98.5651471481604
"PI364207",55.5958011665226,36.3600040860683,8.64582380574133,8.0718879224777,87.1619905500961,101.376958999114,50.9557528859052,35.4318299206104,8.59091541771635,8.74663217618387,90.3044215246579,111.97326300394,55.8065087379236,36.4976395468458,8.63330045585275,8.09340940834372,86.2920816942911,101.055576184045
"PI364212",62.6293747227118,38.256545605436,9.11244920564457,8.4454346483762,85.8361892933921,99.6041605592374,58.7772350359203,38.2656819361592,9.24456041774702,9.12050143331106,89.1260702992834,109.443472737056,61.8126216890068,38.5536633119568,9.0646286041938,8.37637414720345,86.3449052404833,99.6216038577496
"PI364213",52.5636531656708,35.5829036459617,8.70109956765065,7.61954888000874,84.0809888429482,96.2012604572357,51.0733570489226,35.5740924697501,8.93202523726616,8.70524108264781,86.8640182287401,109.590927567153,53.7700826477475,36.0379380869668,8.99263196640842,7.65739180951382,81.8319211328897,95.2815830290888
"PI364214",49.6801818113362,34.5352793697495,8.32813326208294,7.36621329044843,88.1643328018309,100.365009204833,51.2585686475187,35.3052388740777,8.76778486134363,8.4263053852556,91.1611754868595,109.085634101617,50.8242951307218,35.2757996400577,8.59402397555778,7.4758107807145,84.3711215858188,97.4506607810786
"PI364218",53.6183446130898,34.444485638835,8.88855228820987,7.43953123321169,88.9760153015428,99.9550757334541,51.0315579579671,34.0034955986539,8.61727465695061,8.11008060330339,90.9433290938212,108.190863698974,53.4803483952772,34.6501811892128,8.65264737339459,7.48614844419171,88.0511585134174,99.6494712442244
"PI364224",42.5605632391708,31.9377282681791,8.05951518007001,6.8176426807753,84.9394553466199,98.99986988439,39.3630189909189,31.421630481041,8.16450190391599,7.47214916424653,82.2714612217187,106.866172949463,42.926422693237,32.4342014167549,8.14062580539985,6.90949569019125,81.7435451239153,97.5171914569248
"PI364225",47.5768013339329,33.798279427317,8.02263177115258,7.37149665303719,88.8733690418359,102.652633839909,49.4339250885472,34.6757308782958,8.62286388769745,8.24487129217495,89.0420630547781,109.011452058296,51.3737711710247,35.2610772355507,8.62514581757906,7.54860571346945,83.7295840688805,98.6710493572095
"PI364230",51.6423060744662,35.1644406853514,8.64765387022377,7.594857792675,84.3611050119053,97.9779117285876,50.4952332913542,35.127336629586,8.64137304437518,8.38383371377215,91.2805684717014,109.254151645055,51.4695975361563,35.2023789831295,8.66430895141479,7.61552653722052,85.2278692109728,97.7719728026846
"PI364231",50.4367983919453,34.9027198067228,8.43189130884197,7.35709173084853,85.642076337911,99.7811286746721,44.8781253887292,33.7513935262277,8.62897954108969,7.81212450146834,84.5105429144276,105.759274882516,51.8293971438259,35.5752018398149,8.86300995402835,7.50291285284924,81.8372154289954,96.376718809243
"PI368266",56.5950737650142,36.0261114446251,8.35214744197449,8.1350688827264,93.5992927485274,104.807314402815,51.7550920141733,35.3459223484539,8.67892273109223,8.50337386562732,92.7789329262334,109.908417668338,57.2216125806012,36.3467808680673,8.69879091793775,8.15634114876141,92.1847042921926,102.512002826238
"PI368274",58.0890100222732,37.6806102651675,8.91979012538259,8.1500060484831,86.9484536298911,100.244842649001,53.1333299536083,35.8427103639612,8.95561968838135,8.64892225554401,86.7220386784582,108.398691300667,57.1769550567433,36.8794707114768,8.88990176695702,8.10964191878144,87.0777298828352,100.565880807126
"PI368275",41.9587691815335,32.1635629567346,8.03294270009495,6.76919996948354,82.1971796098999,96.2963568937183,40.0607154274464,31.5320443024858,8.07217566833314,7.44305757156596,90.3949909908491,108.449917166709,42.1821506558398,33.0526448508964,8.0100156237943,6.80585126111849,81.9556142798763,96.1637291109931
"PI368276",53.7748943109488,35.5651601796266,8.51591303614869,7.75852003460258,87.460928065878,100.98992451252,49.7381584604876,34.8286996314673,8.93468954060829,8.21844169252159,84.2480995023128,106.206307804408,55.79010634655,36.4682236419879,8.88041283160488,7.83355743891884,84.1058539827455,97.9154640928469
"PI368277",57.6244470601478,36.6374481767591,8.98261310070054,7.98982707150884,87.778325078367,99.2787432906386,51.0625429421634,35.2051560392815,8.94482306883763,8.38700745654866,86.7248477771028,107.26548621852,58.626908839839,37.1104610982897,8.61417996827474,8.06984154188776,88.8236361335786,102.298192648774
"PI368279",50.9001382904359,35.222723481317,8.33592834208811,7.48614889430168,90.7199065774362,101.859152356769,51.5746864520161,35.3894551601194,8.27017498185338,8.39119600672437,96.1475506165003,111.946480081353,52.3380813677848,35.3847291665843,8.39372954608443,7.54909751334679,86.7537644901052,98.9409396809076
"PI368285",40.2208661124692,31.1942720248062,7.72344027066524,6.69028334028792,83.540988612836,97.855041451173,39.6009137826979,31.5750300411301,8.0781853717158,7.36481604788973,90.3440419960298,107.702303647805,40.8962391165614,31.7267515472363,7.85567974351595,6.83071206200585,83.9016222811299,97.9356397393563
"PI368302",43.2894526368287,32.3753380003841,7.92431417953482,6.9547350730835,83.2211949677414,98.6461536165731,42.1154269430958,33.2799039332656,8.19583169580252,7.70105831241591,89.1621206731911,105.92879833623,44.8318920761829,33.5008645902122,8.13697136030517,7.02049945040906,83.3486422718764,97.8283226142177
"PI368305",44.6361713087053,33.2880189940805,8.08946549919587,7.04521594495977,85.2153015239688,98.9878057099027,43.0076874472896,32.7234321966611,8.06071083560147,7.6578916111143,93.9077083157047,108.634587142729,46.6979635409761,33.9295791144208,8.31113172846059,7.22305957101672,87.4766931086228,97.916745736079
"PI368327",50.9592891126933,35.2843586172033,8.49725807928775,7.55758227034853,84.3322403156542,97.7254835194421,46.5708131758634,34.0145059828743,8.77207448377023,7.91887107964658,86.0920046622943,105.507588776074,50.4103325614444,35.0966504976364,8.49352152529671,7.4755658181409,87.321588879547,98.7746159773139
"PI368329",55.3931668224542,36.1066026723917,8.37166931947319,8.07281089428703,90.5148378224842,103.705583642544,48.7852180732532,34.5842830256174,8.7553754936233,8.24665290787891,89.5368263473002,107.882045277661,55.6034467976699,36.5007242412566,8.67704557996515,7.95728060395951,88.6186782792193,100.567605654655
"PI368330",55.0460916898586,36.2654788337312,8.51682286533735,8.00077526864291,88.9908353174748,101.019215470591,51.6717780191731,35.3258849199502,8.70873053079546,8.74087059779178,96.2944405102635,111.045227426709,56.9941488427198,37.0006732584972,8.91727356776757,8.08394225116343,85.4155537455599,98.3777031799177
"PI368332",46.4638493288606,33.4808777089754,8.2873789946004,7.19281476332626,80.7920599188274,96.2081739253262,44.6607615736027,33.498081047652,8.76402121328622,7.7847031626224,85.5902898625992,104.593208258303,47.0191399407754,34.4711185673902,8.325727200875,7.19639793223332,82.5363286016639,95.8001191347817
"PI369768",56.2899488070494,36.8846100752693,8.68718865158927,7.91791810312253,87.2215950679002,99.3385676337352,61.9260782124352,39.0193024034111,9.26025437664586,9.39828330563733,92.478802957079,110.659409935476,59.2458084115245,37.6590112919485,8.93123000165315,8.00679940756255,85.6150939629392,97.9996915796077
"PI369794",54.7887640596301,36.4649652810494,8.43112598316887,7.92182132037254,84.4063780872571,102.275438416044,57.4474704635822,37.0797742889185,9.12714592446778,8.99381376806391,87.5555446768459,109.197634546736,57.2258747558052,37.5799437448399,8.7778827330604,8.02695536930099,83.4889326621426,97.9885391473333
"PI369795",60.6295708833842,38.2634958334579,9.22746066017592,8.29968481229012,85.7817371101044,98.4200567281055,58.7872475087798,37.4943370203297,9.0088072614654,9.17791160351626,94.4159081198014,111.015997133916,61.5836249138171,38.4837602273095,9.17263840518387,8.29516921746068,85.1289014193368,98.9420993160753
"PI371816",64.8203298216362,39.0672219246685,9.03518442780904,8.45109239717921,89.8574380312698,102.474865083423,64.4783223877784,38.8123600386152,9.14947184651826,9.51144891973312,93.2267350055107,111.896720069829,65.3135425499165,39.3225195033332,9.29578659982589,8.47665072767143,83.6017220664408,97.2091165825947
"PI374123",61.0418011808157,37.9538222661539,8.91317428099046,8.20251939543631,89.5168297276387,101.480728114242,59.9878666373497,37.5447110824595,8.77211903999237,9.18449745839592,95.3924226585825,112.738050816956,59.9610271405385,38.0122901341359,8.9936533474251,8.20782040205773,85.3378049674482,99.0657504773197
"PI374125",58.2258414284673,36.5192162351618,8.54924217859849,8.08854334185856,91.7947499609521,104.013607599549,60.8645164478083,37.6477342798925,9.17851615824823,9.23132095900773,88.8782893319364,109.906455456719,63.4106681815279,37.7636698555411,9.15164518383389,8.44869337040886,86.3896311598624,99.2949158874987
"PI374130",48.0609281728285,33.8129821137465,8.39093264138331,7.31992574850908,85.002984795229,98.6899769993118,44.4249480073779,33.083209525917,8.42783004247189,7.69953130932624,88.7218915792383,106.680981709802,49.3229595526343,34.6703542642144,8.42300509901046,7.46545547863423,85.0168874827362,99.4086439441918
